state,year,quarter,name,count,amount
andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.67
andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.89
andhra-pradesh,2018,3,Merchant payments,1225416,685277254.51
andhra-pradesh,2018,3,Financial Services,380324,60790077.57
andhra-pradesh,2018,3,Others,348725,284248675.57
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.14
andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.47
andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.57
andhra-pradesh,2018,4,Financial Services,400837,57178116.4
andhra-pradesh,2018,4,Others,389411,315211361.26
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.26
andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.38
andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.37
andhra-pradesh,2019,1,Financial Services,416325,47150177.53
andhra-pradesh,2019,1,Others,361263,284937624.54
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47
andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.91
andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.68
andhra-pradesh,2019,2,Financial Services,145310,26626696.77
andhra-pradesh,2019,2,Others,448802,361492238.4
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.52
andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.6
andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.07
andhra-pradesh,2019,3,Financial Services,122270,29778183.03
andhra-pradesh,2019,3,Others,413437,298142027.59
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.69
andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.5
andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.69
andhra-pradesh,2019,4,Financial Services,105662,26796571.75
andhra-pradesh,2019,4,Others,338672,216496893.16
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.05
andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.5
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.97
andhra-pradesh,2020,1,Financial Services,75238,43739133.17
andhra-pradesh,2020,1,Others,292310,188228538.37
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.79
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.57
andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44
andhra-pradesh,2020,2,Financial Services,140941,145274999.16
andhra-pradesh,2020,2,Others,176241,90087654.6
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32
andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.83
andhra-pradesh,2020,3,Financial Services,243088,256074924.72
andhra-pradesh,2020,3,Others,312329,151582519.18
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.77
andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.56
andhra-pradesh,2020,4,Financial Services,265470,305168772.46
andhra-pradesh,2020,4,Others,457527,306853355.59
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14
andhra-pradesh,2021,1,Financial Services,225355,270313028.48
andhra-pradesh,2021,1,Others,347907,272546457.55
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.44
andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.11
andhra-pradesh,2021,2,Financial Services,243237,265483044.4
andhra-pradesh,2021,2,Others,406842,308302224.39
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.31
andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.17
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24
andhra-pradesh,2021,3,Financial Services,211171,297239697.83
andhra-pradesh,2021,3,Others,547759,403948275.57
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.13
andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.54
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.99
andhra-pradesh,2021,4,Financial Services,243951,332740108.66
andhra-pradesh,2021,4,Others,701856,545223415.66
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.48
andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.2
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83
andhra-pradesh,2022,1,Financial Services,231651,324358965.12
andhra-pradesh,2022,1,Others,627694,474382234.25
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.71
andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.21
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06
andhra-pradesh,2022,2,Financial Services,192751,245783011.04
andhra-pradesh,2022,2,Others,441925,357036084.91
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.74
andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.08
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.2
andhra-pradesh,2022,3,Financial Services,187190,239347241.55
andhra-pradesh,2022,3,Others,362484,323951101.57
andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.1
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.01
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.48
andhra-pradesh,2022,4,Financial Services,206459,250596592.06
andhra-pradesh,2022,4,Others,345658,339211363.0
andhra-pradesh,2023,1,Merchant payments,540680395,311606731877.0
andhra-pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0
andhra-pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0
andhra-pradesh,2023,1,Financial Services,288150,331233097.0
andhra-pradesh,2023,1,Others,488672,477193006.0
andhra-pradesh,2023,2,Merchant payments,634303064,349602824539.0
andhra-pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0
andhra-pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0
andhra-pradesh,2023,2,Financial Services,316533,386071375.0
andhra-pradesh,2023,2,Others,379498,409939082.0
